Verifying local Google Speech Commands dataset extraction...
Training samples: 10544 | Validation samples: 1171
Epoch 1/50 | loss=0.4558 | train_acc=0.8132 | val_acc=0.9026 | lr=0.002000
Epoch 2/50 | loss=0.1802 | train_acc=0.9348 | val_acc=0.9351 | lr=0.002000
Epoch 3/50 | loss=0.1222 | train_acc=0.9557 | val_acc=0.9522 | lr=0.002000
Epoch 4/50 | loss=0.0933 | train_acc=0.9667 | val_acc=0.9556 | lr=0.002000
Epoch 5/50 | loss=0.0781 | train_acc=0.9730 | val_acc=0.9436 | lr=0.002000
Epoch 6/50 | loss=0.0655 | train_acc=0.9774 | val_acc=0.9641 | lr=0.002000
Epoch 7/50 | loss=0.0525 | train_acc=0.9825 | val_acc=0.9556 | lr=0.002000
Epoch 8/50 | loss=0.0470 | train_acc=0.9854 | val_acc=0.9556 | lr=0.002000
Epoch 9/50 | loss=0.0439 | train_acc=0.9845 | val_acc=0.9633 | lr=0.002000
Epoch 10/50 | loss=0.0379 | train_acc=0.9872 | val_acc=0.9641 | lr=0.002000
Epoch 11/50 | loss=0.0338 | train_acc=0.9890 | val_acc=0.9607 | lr=0.002000
Epoch 12/50 | loss=0.0332 | train_acc=0.9881 | val_acc=0.9607 | lr=0.001000
Epoch 13/50 | loss=0.0192 | train_acc=0.9943 | val_acc=0.9599 | lr=0.001000
Epoch 14/50 | loss=0.0132 | train_acc=0.9968 | val_acc=0.9675 | lr=0.001000
Epoch 15/50 | loss=0.0104 | train_acc=0.9981 | val_acc=0.9667 | lr=0.001000
Epoch 16/50 | loss=0.0099 | train_acc=0.9978 | val_acc=0.9675 | lr=0.001000
Epoch 17/50 | loss=0.0072 | train_acc=0.9985 | val_acc=0.9658 | lr=0.001000
Epoch 18/50 | loss=0.0059 | train_acc=0.9991 | val_acc=0.9633 | lr=0.001000
Epoch 19/50 | loss=0.0056 | train_acc=0.9991 | val_acc=0.9658 | lr=0.001000
Epoch 20/50 | loss=0.0055 | train_acc=0.9988 | val_acc=0.9658 | lr=0.000500
Epoch 21/50 | loss=0.0055 | train_acc=0.9988 | val_acc=0.9616 | lr=0.000500
Epoch 22/50 | loss=0.0037 | train_acc=0.9995 | val_acc=0.9650 | lr=0.000500
Epoch 23/50 | loss=0.0036 | train_acc=0.9994 | val_acc=0.9624 | lr=0.000500
Epoch 24/50 | loss=0.0035 | train_acc=0.9995 | val_acc=0.9684 | lr=0.000500
Epoch 25/50 | loss=0.0028 | train_acc=0.9998 | val_acc=0.9641 | lr=0.000500
Epoch 26/50 | loss=0.0031 | train_acc=0.9994 | val_acc=0.9650 | lr=0.000500
Epoch 27/50 | loss=0.0027 | train_acc=0.9998 | val_acc=0.9658 | lr=0.000500
Epoch 28/50 | loss=0.0026 | train_acc=0.9996 | val_acc=0.9658 | lr=0.000500
Epoch 29/50 | loss=0.0026 | train_acc=0.9997 | val_acc=0.9684 | lr=0.000500
Epoch 30/50 | loss=0.0025 | train_acc=0.9998 | val_acc=0.9701 | lr=0.000500
Epoch 31/50 | loss=0.0024 | train_acc=0.9996 | val_acc=0.9675 | lr=0.000500
Epoch 32/50 | loss=0.0026 | train_acc=0.9997 | val_acc=0.9667 | lr=0.000500
Epoch 33/50 | loss=0.0025 | train_acc=0.9995 | val_acc=0.9710 | lr=0.000500
Epoch 34/50 | loss=0.0021 | train_acc=0.9997 | val_acc=0.9684 | lr=0.000500
Epoch 35/50 | loss=0.0019 | train_acc=0.9998 | val_acc=0.9667 | lr=0.000500
Epoch 36/50 | loss=0.0019 | train_acc=0.9998 | val_acc=0.9675 | lr=0.000500
Epoch 37/50 | loss=0.0018 | train_acc=0.9999 | val_acc=0.9693 | lr=0.000500
Epoch 38/50 | loss=0.0018 | train_acc=0.9999 | val_acc=0.9693 | lr=0.000500
Epoch 39/50 | loss=0.0018 | train_acc=0.9997 | val_acc=0.9710 | lr=0.000250
Epoch 40/50 | loss=0.0016 | train_acc=0.9999 | val_acc=0.9667 | lr=0.000250
Epoch 41/50 | loss=0.0014 | train_acc=0.9998 | val_acc=0.9693 | lr=0.000250
Epoch 42/50 | loss=0.0013 | train_acc=0.9999 | val_acc=0.9684 | lr=0.000250
Epoch 43/50 | loss=0.0014 | train_acc=0.9999 | val_acc=0.9693 | lr=0.000250
Epoch 44/50 | loss=0.0014 | train_acc=0.9998 | val_acc=0.9684 | lr=0.000250
Epoch 45/50 | loss=0.0016 | train_acc=0.9998 | val_acc=0.9693 | lr=0.000125
Epoch 46/50 | loss=0.0013 | train_acc=0.9998 | val_acc=0.9667 | lr=0.000125
Epoch 47/50 | loss=0.0012 | train_acc=0.9998 | val_acc=0.9701 | lr=0.000125
Epoch 48/50 | loss=0.0012 | train_acc=0.9999 | val_acc=0.9693 | lr=0.000125
Epoch 49/50 | loss=0.0010 | train_acc=1.0000 | val_acc=0.9693 | lr=0.000125
Epoch 50/50 | loss=0.0011 | train_acc=1.0000 | val_acc=0.9693 | lr=0.000125
Saved model.pt (best val_acc=0.9710)
Trainable parameters: 46,665

Running inference on 'student_test_features.pt'...
predictions.csv successfully generated!
Submit predictions.csv and model_source.py (or model.pt) to the leaderboard portal.
